Transaction ID,Business,Status,Last Operational Day
7,Karbucks,Inactive,75
15,Katara Jewels,Inactive,129
1,Andy's Diamonds,Inactive,247
14,Katar Spirits,Inactive,287
6,Karbucks HK,Inactive,287
8,Karvin Kueen,Inactive,300
12,Katalytica,Inactive,310
16,Phillip Web Design,Inactive,328
13,Katar Midtown,Active,364
11,Katalytica Midtown,Active,364
9,Karvin Kween,Active,364
17,The Green Salad,Active,364
5,Karakata Associates,Active,364
4,Kalico Midtown,Active,364
3,Elite Jewels,Active,364
2,Elite Couture,Active,364
10,Katalytica HK,Active,364
18,The Suits Law Firm,Active,364
